MMS ID,Handle,Title,dc:type,dc:format,dcterms:format,Thumbnail?,File Opens?,Needs Attention?
991011506418804641,http://hdl.handle.net/11084/10001,"""Data Repository for Reproducible Research""",compound,,,,,
991011506418904641,http://hdl.handle.net/11084/10002,"""Research Methods for Empirical Computer Science""",compound,born digital,,,,
991011506419004641,http://hdl.handle.net/11084/54,"""The Social Politics of Having Children""",text,born digital,,,,
991011506419104641,http://hdl.handle.net/11084/5185,"""Summary of Online Experiments and Pilots""",report,born digital,,,,
991011506419204641,http://hdl.handle.net/11084/3482,"""Stephen R. Carl (Class of 1971) in biology lab""",photograph,reformated digital,image/jpeg,,,
991011506419304641,http://hdl.handle.net/11084/3463,"""We Are What We Eat: Food, Culture, and Identity in Literature and Film""",text,born digital,,,,
991011506419404641,http://hdl.handle.net/11084/3462,"""Tutorial summary sheet 2010-2011""",text,born digital,application/pdf,,,
991011506419504641,http://hdl.handle.net/11084/3461,"""Stories, Story-Tellers, and Audiences: Geoffrey Chaucer's Canterbury Tales and Marguerite of Navarre's Heptameron""",text,born digital,,,,
991011506419604641,http://hdl.handle.net/11084/3460,"""Soundtracks and Scores""",text,born digital,,,,
991011506419704641,http://hdl.handle.net/11084/3459,"""Russia in Revolution""",text,born digital,,,,
991011506419804641,http://hdl.handle.net/11084/3458,"""Renaissance""",text,born digital,,,,
991011506419904641,http://hdl.handle.net/11084/3457,"""Painting Modernity""",text,born digital,,,,
991011506420004641,http://hdl.handle.net/11084/3456,"""Outward from the Middle of the Maze: Selected Plays of Tom Stoppard""",text,born digital,,,,
991011506420104641,http://hdl.handle.net/11084/3455,"""Narrative and Identity""",text,born digital,,,,
991011506420204641,http://hdl.handle.net/11084/3454,"""Myth of the Middle Class""",text,born digital,,,,
991011506420304641,http://hdl.handle.net/11084/3453,"""Musicians in Fiction""",text,born digital,,,,
991011506420404641,http://hdl.handle.net/11084/3452,"""Places I've Been: Outsiders, Exiles, Tourists""",text,reformated digital,,,,
991011506420504641,http://hdl.handle.net/11084/3449,"""Living an authentic life""",text,born digital,,,,
991011506420604641,http://hdl.handle.net/11084/3448,"""Images of Africa""",text,born digital,,,,
991011506420704641,http://hdl.handle.net/11084/3447,"""Ideas of Love in Western Culture""",text,born digital,,,,
991011506420804641,http://hdl.handle.net/11084/3446,"""Humanities I : The Ancient Greek World""",text,born digital,,,,
991011506420904641,http://hdl.handle.net/11084/3445,"""Humanities 101 : The Ancient World""",text,born digital,,,,
991011506421004641,http://hdl.handle.net/11084/3444,"""The Hero's Journey""",text,born digital,,,,
991011506421104641,http://hdl.handle.net/11084/3443,"""Freedom [002]""",text,born digital,,,,
991011506421204641,http://hdl.handle.net/11084/3442,"""Freedom [001]""",text,born digital,,,,
991011506421304641,http://hdl.handle.net/11084/3441,"""Frankenstein's Monsters: the Creation of Horror & the Horror of Creation""",text,born digital,,,,
991011506421404641,http://hdl.handle.net/11084/3440,"""Emotion and Cognition""",text,born digital,,,,
991011506421504641,http://hdl.handle.net/11084/3439,"""Doing History: the Pullman Strike""",text,born digital,,,,
991011506421604641,http://hdl.handle.net/11084/3438,"""Dis/Connected""",text,born digital,,,,
991011506421704641,http://hdl.handle.net/11084/3436,"""Detectives and Their Fictions""",text,born digital,,,,
991011506421804641,http://hdl.handle.net/11084/3435,"""Degradation and Development in Tropical Forests""",text,born digital,,,,
991011506421904641,http://hdl.handle.net/11084/3434,"""Darwin's Legacy in the 20th Century and Beyond""",text,born digital,,,,
991011506422004641,http://hdl.handle.net/11084/3433,"""The Comedies of Aristophanes""",text,born digital,,,,
991011506422104641,http://hdl.handle.net/11084/3432,"""Color Culture and Class""",text,born digital,,,,
991011506422204641,http://hdl.handle.net/11084/3431,"""Campus Culture Wars -- Then and Now""",text,born digital,,,,
991011506422304641,http://hdl.handle.net/11084/3430,"""Beast and Beauties: Monstrosity and Romance in Literature and Film""",text,born digital,,,,
991011506422404641,http://hdl.handle.net/11084/3429,"""Americans in Paris: Through the Looking Glass""",text,born digital,,,,
991011506422504641,http://hdl.handle.net/11084/3428,"""American Memorials and the Politics of Memory""",text,born digital,,,,
991011506422604641,http://hdl.handle.net/11084/3426,"""American Memorials""",text,born digital,,,,
991011506422704641,http://hdl.handle.net/11084/3324,"""Dynamic Map and Timeline: History of the Modern Middle East (1798-Present)""",poster,born digital,,,,
991011506422804641,http://hdl.handle.net/11084/3249,"""Students Build Interactive Timeline to Organize Chronological Events in Korea's Economic Development""",poster,born digital,,,,
991011506422904641,http://hdl.handle.net/11084/317,"""Decline and Renewal in the Heartland""",text,born digital,,,,
991011506423004641,http://hdl.handle.net/11084/316,"""Decline and Renewal in the Heartland, Fall 2003 Syllabus""",text,born digital,application/pdf,,,
991011506423104641,http://hdl.handle.net/11084/27969,"""Embodied Experiences in the Environment curriculum""",text,born digital,application/pdf,,,
991011506423204641,http://hdl.handle.net/11084/226,"""Music in the Balance of Power""",text,born digital,,,,
991011506423304641,http://hdl.handle.net/11084/225,"""Primitive Skills in the Modern World""",text,born digital,,,,
991011506423404641,http://hdl.handle.net/11084/222,"""Computing: Limitations and Promising Developments""",text,born digital,,,,
991011506423504641,http://hdl.handle.net/11084/19112,"""Investigations: a Handbook for Biology Courses""",book,reformated digital,application/pdf,,,
991011506423604641,http://hdl.handle.net/11084/11659,"""Curriculum for the Twenty-first Century: Recent Advances in Economic Theory and Undergraduate Economics""",essays,born digital,,,,
991011506423704641,http://hdl.handle.net/11084/11384,"""Tutorial: Color, Culture and Class""",text,reformated digital,application/pdf,,,
991011506423804641,http://hdl.handle.net/11084/1076,"""Tutorial: Celebrating Forty Years""",book,born digital,application/pdf,,,
991011506575704641,http://hdl.handle.net/11084/224,"""Computational Physics""",compound,born digital,,,,
991011506575804641,http://hdl.handle.net/11084/10426,"""PIPS: An Instruction Set Architecture for Teaching Computer Organization""",compound,born digital,,,,
991011507131104641,http://hdl.handle.net/11084/26663,"""Wood Anatomy of Polemoniaceae""",essays,born digital,,,,
991011507131204641,http://hdl.handle.net/11084/26662,"""Wood Anatomy of Hydrophyllaceae. I. Eriodictyon""",article,digitized other analog,application/pdf,,,
991011507131304641,http://hdl.handle.net/11084/26661,"""Wood Anatomy of Darwiniothamnus, Lecocarpus, and Macraea (Asteraceae)""",essays,born digital,,,,
