MMS ID,Title,dc:type,dc:date,dcterms:created,Year,Decade
991011591716304641,Audrey (Bunny) Howard Swanson '43,sound,,1943,1943,1940s
991011591726004641,Edward Shackelford '43,sound,,1943,1943,1940s
991011591715004641,"Virginia Lobell Rosen '48, Phyllis Miller Lawrence '48 and Margaret Lawrence Banning '82",sound,,1948,1948,1940s
991011591724004641,Beverly Stubbee '48,sound,,1948,1948,1940s
991011591715604641,Douglas Peterson '50,sound,,1950,1950,1950s
991011591725104641,Ann Stillman '51,sound,,1951,1951,1950s
991011591720704641,Wally Douma '51,sound,,1951,1951,1950s
991011591718404641,Loree Pugh Rackstraw ’53 and Norma Tong Dang ’53,sound,,1953,1953,1950s
991011591718604641,Catherine Hampton Ditmore '54,sound,,1954,1954,1950s
991011591722004641,Foster Rinefort '54 and '56,sound,,1954,1954,1950s
991011591721404641,Wally Stevens '54,sound,,1954,1954,1950s
991011591721104641,Orlan Mitchell '55,sound,,1955,1955,1950s
991011591721804641,Don Cassiday '56,sound,,1956,1956,1950s
991011591715104641,Carol Johnson Addington ‘56,sound,,1956,1956,1950s
991011591715804641,David Steiner '57,sound,,1957,1957,1950s
991011591716604641,Charles E. Hawtrey '57,sound,,1957,1957,1950s
991011591725504641,Juergen H. Roennau,sound,,1957,1957,1950s
991011591711304641,James H. Stacey '57,sound,,1957,1957,1950s
991011591716404641,Anne Hruska Parsons '58,sound,,1958,1958,1950s
991011591720804641,Melanie Drake '92 & Susan Ratcliff Drake '58,sound,,1958,1958,1950s
991011591726404641,Lynn Parsons '58,sound,,1958,1958,1950s
991011591712404641,Howard Ohline '58,sound,,1958,1958,1950s
991011591723604641,Susan Fisher '59,sound,,1959,1959,1950s
991011591724804641,Joseph Walka '60,sound,,1960,1960,1960s
991011591723204641,Aris F. Yanibas '60,sound,,1960,1960,1960s
991011591719304641,Keith Kester '61,sound,,1961,1961,1960s
991011591716204641,Robert W. Richburg '61,sound,,1961,1961,1960s
991011591720304641,Judy Mahle Lutter '61,sound,,1961,1961,1960s
991011591713604641,Duane Krohnke '61,sound,,1961,1961,1960s
991011591710404641,Ron Dorr '62,sound,,1962,1962,1960s
991011591715704641,James A. Ahrens '62,sound,,1962,1962,1960s
991011591710004641,Bill Parsons '62,sound,,1962,1962,1960s
991011591711704641,David A. McBlain '62,sound,,1962,1962,1960s
991011591712704641,Mike Lehmann '62,sound,,1962,1962,1960s
991011591715404641,John M. Peterson '62,sound,,1962,1962,1960s
991011591716704641,Ray Horton '62,sound,,1962,1962,1960s
991011591717504641,Ronald Gault '62,sound,,1962,1962,1960s
991011591723304641,David Durand '62,sound,,1962,1962,1960s
991011591712104641,Jerry Eggleston '62,sound,,1962,1962,1960s
991011591720504641,Margery Hendrick Piersen '63,sound,,1963,1963,1960s
991011591725304641,Lowell Baker '63,sound,,1963,1963,1960s
991011591711604641,James Fisher '63,sound,,1963,1963,1960s
991011591718204641,Margaret Patricia Stahl Hubbell '64,sound,,1964,1964,1960s
991011591726204641,Lynne Simcox '64,sound,,1964,1964,1960s
991011591726504641,Livija Denavs-Rebane '64,sound,,1964,1964,1960s
991011591714004641,Anne Anderson '64,sound,,1964,1964,1960s
991011591724704641,Judith Roberts Stoddard '66,sound,,1966,1966,1960s
991011591709304641,Mark Schorr '66,sound,,1966,1966,1960s
991011591709604641,Karen Adkinson Reixach '66 and Mark Schorr '66,sound,,1966,1966,1960s
991011591709804641,Leanne Hoepner Puglielli '66,sound,,1966,1966,1960s
991011591710304641,Nicholas G. Nonas '66,sound,,1966,1966,1960s
991011591721204641,Irene Blaser Elliott '67,sound,,1967,1967,1960s
991011591722704641,Susan Earley '67,sound,,1967,1967,1960s
991011591723004641,Mel Thompson '68 and Sioe Thung Thompson '68,sound,,1968,1968,1960s
991011591713804641,Philip Bertenthal '68,sound,,1968,1968,1960s
991011591715204641,Babak Armijani '68,sound,,1968,1968,1960s
991011591715504641,Mariana Alwell '68,sound,,1968,1968,1960s
991011591720004641,Oral History Project: Philip Bertenthal '68,sound,,1968,1968,1960s
991011591711404641,Cynthia Peterson McKeen '68,sound,,1968,1968,1960s
991011591722304641,Joan E. Eccard '68,sound,,1968,1968,1960s
991011591723404641,Brenda Thomas '69,sound,,1969,1969,1960s
991011591711204641,Kathryn Cline Byrd '69,sound,,1969,1969,1960s
991011591721304641,Robert Wilson '70,sound,,1970,1970,1970s
991011591722104641,"Jon Royal '70, Diane Alters '71, Mary Brooner '71 & Sheena Thomas '71",sound,,1970,1970,1970s
991011591710504641,Bruce Nissen '70 and David Lindblom '70,sound,,1970,1970,1970s
991011591725704641,Sheena Brown Thomas '71,sound,,1971,1971,1970s
991011591711504641,Janet (Castore) Murphy '71,sound,,1971,1971,1970s
991011591709404641,William Schooler '71,sound,,1971,1971,1970s
991011591713004641,JC Labowitz '71,sound,,1971,1971,1970s
991011591722604641,Greg Vranicar '72,sound,,1972,1972,1970s
991011591723904641,Greg Thielmann '72,sound,,1972,1972,1970s
991011591711904641,James L. Carns '72,sound,,1972,1972,1970s
991011591710804641,Mara Brewster Munroe '72,sound,,1972,1972,1970s
991011591714904641,Mary Kay Kasang Allen '72,sound,,1972,1972,1970s
991011591721704641,Clay Williams '73,sound,,1973,1973,1970s
991011591710904641,Mary Margaret Coffield '73,sound,,1973,1973,1970s
991011591714804641,Carolyn Ashbaugh '73,sound,,1973,1973,1970s
991011591710104641,Jan Palmer '73,sound,,1973,1973,1970s
991011591714304641,Keith Kozloff '73,sound,,1973,1973,1970s
991011591714604641,Laura Korach Howell '73,sound,,1973,1973,1970s
991011591721604641,Carol Edkins '73,sound,,1973,1973,1970s
991011591719004641,Avram Machtiger '74,sound,,1974,1974,1970s
991011591720404641,Margaret Bogie '76,sound,,1976,1976,1970s
991011591722404641,Nancy Ganschaw Frakes '76,sound,,1976,1976,1970s
991011591723104641,Mark Butterman '76,sound,,1976,1976,1970s
991011591723704641,Paul Scott Stanfield '76,sound,,1976,1976,1970s
991011591725904641,Caryn Chaden '76,sound,,1976,1976,1970s
991011591717204641,John Aubry '77,sound,,1977,1977,1970s
991011591725604641,Jerome Kujawa '77,sound,,1977,1977,1970s
991011591711004641,Karen Jaeger Weiss '77 and Steve Jaeger '77,sound,,1977,1977,1970s
991011591713704641,Carol Tuttle Moseson '77,sound,,1977,1977,1970s
991011591714204641,Andreas Vassilos '78,sound,,1978,1978,1970s
991011591713204641,Ellen Liebman Glatstein '79 and Ann Lion '78,sound,,1978,1978,1970s
991011591724304641,Amy Stubenhaus '79,sound,,1979,1979,1970s
991011591724604641,Kathryn Kretzmann Prager '79,sound,,1979,1979,1970s
991011591725804641,Steve Moyer '79,sound,,1979,1979,1970s
991011591712004641,John Malkinson '79,sound,,1979,1979,1970s
991011591726304641,Ed Senn '79,sound,,1979,1979,1970s
991011591712604641,Gregory Kaiser Youtz '79,sound,,1979,1979,1970s
991011591716504641,Susan Hagler '80,sound,,1980,1980,1980s
991011591713904641,David Kramer '80,sound,,1980,1980,1980s
